Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
100.00,3689.68,1.54,0.65,0.00,0.30,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2522.00,474.00,18.79,954.87,
100.03,3694.25,1.55,0.64,0.00,0.34,0.00,0.09,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2412.00,448.00,18.57,1194.38,
99.98,3694.03,1.55,0.65,0.00,0.29,0.00,0.05,0.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2475.00,483.00,19.52,988.07,
100.00,3719.03,1.54,0.65,0.00,0.26,0.00,0.08,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2471.00,493.00,19.95,1009.59,
100.03,3724.60,1.55,0.64,0.00,0.29,0.00,0.07,0.02,0.30,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2406.00,456.00,18.95,852.85,
100.06,3724.02,1.55,0.65,0.00,0.33,0.00,0.09,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2477.00,514.00,20.75,948.28,
100.05,3724.49,1.55,0.65,0.00,0.28,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.00,0.01,0.00,0.04,0.03,0.01,0.00,2474.00,488.00,19.73,959.40,
100.01,3714.06,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2516.00,512.00,20.35,1220.08,
100.09,3723.40,1.54,0.65,0.00,0.32,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2516.00,504.00,20.03,1193.52,
100.02,3724.15,1.55,0.64,0.00,0.36,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2484.00,490.00,19.73,721.54,
100.00,3724.71,1.55,0.65,0.00,0.31,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2444.00,599.00,24.51,1398.78,
100.00,3724.47,1.54,0.65,0.00,0.30,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2500.00,518.00,20.72,1005.97,
100.02,3724.18,1.55,0.64,0.00,0.31,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2475.00,486.00,19.64,1248.21,
99.97,3725.66,1.55,0.65,0.00,0.27,0.00,0.05,0.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2475.00,471.00,19.03,980.52,
100.00,3724.77,1.54,0.65,0.00,0.28,0.00,0.08,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2692.00,670.00,24.89,858.87,
100.01,3724.47,1.55,0.64,0.00,0.33,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2447.00,515.00,21.05,982.37,
100.04,3724.01,1.55,0.65,0.00,0.25,0.00,0.09,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2419.00,460.00,19.02,899.02,
100.01,3724.06,1.55,0.64,0.00,0.31,0.00,0.09,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,24174.00,3187.00,13.18,1117.64,
100.00,3724.78,1.55,0.65,0.00,0.29,0.00,0.05,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2455.00,473.00,19.27,930.12,
100.05,3723.05,1.54,0.65,0.00,0.33,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.03,0.02,0.00,0.00,8885.00,1697.00,19.10,958.20,
100.01,3724.04,1.55,0.64,0.00,0.30,0.00,0.05,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2509.00,563.00,22.44,923.72,
