Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
100.02,3723.61,1.55,0.65,0.00,0.37,0.00,0.10,0.04,0.39,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2550.00,496.00,19.45,1440.40,
100.05,3723.53,1.54,0.65,0.00,0.30,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2607.00,510.00,19.56,1198.01,
100.03,3714.47,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2748.00,539.00,19.61,1563.77,
100.02,3724.48,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2568.00,504.00,19.63,1248.36,
100.07,3723.25,1.55,0.65,0.00,0.30,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2686.00,498.00,18.54,1238.61,
100.18,3723.39,1.54,0.65,0.00,0.36,0.00,0.07,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,5648.00,1747.00,30.93,1095.67,
99.99,3725.04,1.55,0.65,0.00,0.31,0.00,0.08,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.05,0.04,0.01,0.00,2674.00,592.00,22.14,1358.57,
100.02,3724.20,1.53,0.65,0.00,0.32,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2800.00,812.00,29.00,1361.29,
99.99,3724.80,1.54,0.65,0.00,0.33,0.00,0.08,0.03,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2553.00,458.00,17.94,1188.54,
100.01,3724.49,1.55,0.65,0.00,0.30,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2585.00,484.00,18.72,1239.85,
100.03,3724.76,1.55,0.65,0.00,0.31,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2607.00,510.00,19.56,1188.95,
100.06,3724.35,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,15843.00,1695.00,10.70,1197.63,
100.04,3723.96,1.55,0.65,0.00,0.31,0.00,0.09,0.03,0.37,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2621.00,509.00,19.42,1444.17,
100.00,3724.60,1.55,0.65,0.00,0.36,0.00,0.11,0.04,0.37,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,3001.00,581.00,19.36,1240.32,
100.01,3724.63,1.54,0.65,0.00,0.30,0.00,0.06,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2617.00,653.00,24.95,1257.09,
100.00,3725.35,1.55,0.65,0.00,0.30,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2501.00,476.00,19.03,1191.74,
100.00,3724.54,1.55,0.65,0.00,0.33,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,11620.00,1889.00,16.26,1122.45,
99.99,3725.09,1.55,0.65,0.00,0.23,0.00,0.07,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,2599.00,511.00,19.66,1194.99,
99.97,3725.39,1.55,0.65,0.00,0.33,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2627.00,525.00,19.98,1335.24,
99.98,3725.43,1.55,0.65,0.00,0.31,0.00,0.08,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.01,0.01,0.01,0.00,0.00,0.00,0.05,0.04,0.01,0.00,2657.00,484.00,18.22,1447.54,
100.02,3724.37,1.54,0.65,0.00,0.31,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2607.00,484.00,18.57,1127.02,
